potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-2.0915127298884144,-1.021495113443374,0.00932993981867456,-5.915149182098508,-5.896479103851718,-5.857881087960285,-5.906875935038396
-2.091400895469742,-1.021495113443374,0.009317705163444752,-5.914959562015423,-5.896479103851718,-5.858067602276085,-5.906688861927371
-2.0914452286353704,-1.0215722192506629,0.009321783381854687,-5.915054372056966,-5.89638562213929,-5.858067602276085,-5.906688861927371
-2.091400895469742,-1.0214064841677593,0.009325861600264624,-5.915054372056966,-5.89638562213929,-5.857694573644485,-5.906314715705321
-2.0912967837468743,-1.02151828153079,0.009325861600264624,-5.914769941932338,-5.896479103851718,-5.858067602276085,-5.906782398482884
-2.0914606740269805,-1.02151828153079,0.00931900145726531,-5.915054372056966,-5.896479103851718,-5.857787830802385,-5.906314715705321
-2.091348839608308,-1.0215105588349846,0.00931900145726531,-5.915054372056966,-5.8965725855641455,-5.857787830802385,-5.906408252260833
-2.0913931727739365,-1.02151828153079,0.009316219532675932,-5.915149182098508,-5.89638562213929,-5.857694573644485,-5.906782398482884
-2.091400895469742,-1.0215260042265952,0.009312141314265996,-5.915243992140051,-5.896292140426862,-5.857787830802385,-5.906595325371859
-2.0914606740269805,-1.0215876646422735,0.009323079675675246,-5.915054372056966,-5.896292140426862,-5.8575080593286835,-5.906314715705321
-2.0914606740269805,-1.0215876646422735,0.009314923238855372,-5.915433612223136,-5.89638562213929,-5.857881087960285,-5.906408252260833
-2.09130450644268,-1.02151828153079,0.009323079675675246,-5.914959562015423,-5.895544286727439,-5.857041773539182,-5.9059405694832705
-2.0915570630540428,-1.0215684184781422,0.00931900145726531,-5.915338802181594,-5.89638562213929,-5.857881087960285,-5.906408252260833
-2.091400895469742,-1.0215337269224005,0.009327157894085183,-5.915243992140051,-5.896479103851718,-5.857974345118185,-5.906501788816346
-2.091408618165547,-1.0215684184781422,0.009331236112495117,-5.915054372056966,-5.896198658714434,-5.857601316486583,-5.906314715705321
-2.0914529513311755,-1.0215414496182058,0.009314923238855372,-5.915243992140051,-5.896759548989001,-5.858067602276085,-5.906595325371859
-2.0913931727739365,-1.0216108327296893,0.00931900145726531,-5.915054372056966,-5.89638562213929,-5.857787830802385,-5.906501788816346
-2.091400895469742,-1.0216108327296893,0.009327157894085183,-5.915054372056966,-5.89638562213929,-5.857694573644485,-5.906595325371859
-2.091400895469742,-1.021549172314011,0.009327157894085183,-5.915338802181594,-5.896292140426862,-5.857881087960285,-5.906595325371859
